sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,cuenta,tipo,frecuencia
2971,F,21,SOLTERO,5,8,2,1,1,7.9,858,1.0,1.0,1.0,1.0,202016025,"Verbal, Física",2.0
2971,F,21,SOLTERO,5,8,2,1,1,7.9,858,1.0,1.0,1.0,1.0,202016025,"Verbal, Física",2.0
2971,F,21,SOLTERO,5,8,2,1,1,7.9,858,1.0,1.0,1.0,1.0,202016025,"Verbal, Física",2.0
2972,M,22,UNION LIBRE,5,8,1,1,8,9.5,1011,1.0,1.0,1.0,1.0,202016075,Psicológica,1.0
2972,M,22,UNION LIBRE,5,8,1,1,8,9.5,1011,1.0,1.0,1.0,1.0,202016075,Psicológica,1.0
2972,M,22,UNION LIBRE,5,8,1,1,8,9.5,1011,1.0,1.0,1.0,1.0,202016075,Psicológica,1.0
2978,F,21,SOLTERO,1,8,1,1,1,8.5,2234,1.0,1.0,1.0,1.0,202001024,Verbal,1.0
2978,F,21,SOLTERO,1,8,1,1,1,8.5,2234,1.0,1.0,1.0,1.0,202001024,Verbal,1.0
2978,F,21,SOLTERO,1,8,1,1,1,8.5,2234,1.0,1.0,1.0,1.0,202001024,Verbal,1.0
2995,M,21,SOLTERO,13,8,1,1,1,8.9,1099,1.0,2.0,2.0,1.0,202035018,Física,1.0
3000,M,21,SOLTERO,8,8,1,1,1,8.6,1448,1.0,1.0,2.0,1.0,202038032,Verbal,1.0
3000,M,21,SOLTERO,8,8,1,1,1,8.6,1448,1.0,1.0,2.0,1.0,202038032,Verbal,1.0
3002,F,21,SOLTERO,8,8,1,1,1,8.1,1323,1.0,1.0,2.0,1.0,202038005,"Verbal, Psicológica",2.0
3002,F,21,SOLTERO,8,8,1,1,1,8.1,1323,1.0,1.0,2.0,1.0,202038005,"Verbal, Psicológica",2.0
3020,F,21,SOLTERO,8,8,1,1,1,8.6,1449,1.0,1.0,3.0,1.0,202038019,Verbal,1.0
3020,F,21,SOLTERO,8,8,1,1,1,8.6,1449,1.0,1.0,3.0,1.0,202038019,Verbal,1.0
3034,F,21,SOLTERO,8,8,1,1,19,9.4,1315,1.0,1.0,1.0,1.0,202038029,"Verbal, Psicológica",1.0
3034,F,21,SOLTERO,8,8,1,1,19,9.4,1315,1.0,1.0,1.0,1.0,202038029,"Verbal, Psicológica",1.0
3087,F,21,SOLTERO,8,8,1,1,39,9.0,220,1.0,2.0,1.0,3.0,202038011,Verbal,1.0
3087,F,21,SOLTERO,8,8,1,1,39,9.0,220,1.0,2.0,1.0,3.0,202038011,Psicológica,1.0
3087,F,21,SOLTERO,8,8,1,1,39,9.0,220,1.0,2.0,1.0,3.0,202038011,Verbal,1.0
3087,F,21,SOLTERO,8,8,1,1,39,9.0,220,1.0,2.0,1.0,3.0,202038011,Psicológica,1.0
3105,M,21,SOLTERO,6,8,1,1,1,8.5,876,1.0,1.0,1.0,1.0,202021029,Psicológica,1.0
3105,M,21,SOLTERO,6,8,1,1,1,8.5,876,1.0,1.0,1.0,1.0,202021029,Psicológica,1.0
3105,M,21,SOLTERO,6,8,1,1,1,8.5,876,1.0,1.0,1.0,1.0,202021029,Psicológica,1.0
3211,F,21,SOLTERO,5,8,2,1,21,9.0,231,1.0,1.0,2.0,1.0,202016078,"Verbal, Psicológica",2.0
3211,F,21,SOLTERO,5,8,2,1,21,9.0,231,1.0,1.0,2.0,1.0,202016078,"Verbal, Física",2.0
3211,F,21,SOLTERO,5,8,2,1,21,9.0,231,1.0,1.0,2.0,1.0,202016078,"Verbal, Psicológica",2.0
3211,F,21,SOLTERO,5,8,2,1,21,9.0,231,1.0,1.0,2.0,1.0,202016078,"Verbal, Física",2.0
3270,M,21,SOLTERO,2,6,2,1,13,7.3,79,1.0,1.0,1.0,4.0,202107062,"Verbal, Física",2.0
3271,M,20,SOLTERO,2,6,1,1,47,8.0,84,1.0,1.0,1.0,1.0,202107027,Física,1.0
3274,F,21,SOLTERO,2,6,1,1,2,9.4,163,1.0,1.0,1.0,1.0,202107056,"Verbal, Física",2.0
3280,M,21,SOLTERO,2,6,1,1,10,9.0,979,1.0,1.0,2.0,1.0,202107022,"Verbal, Física, Psicológica, Sexual",4.0
3285,F,21,SOLTERO,2,6,1,1,24,9.3,288,1.0,1.0,1.0,1.0,202107001,Verbal,1.0
3293,M,21,SOLTERO,2,6,1,1,87,9.7,1221,1.0,1.0,1.0,1.0,202107060,Verbal,1.0
3299,F,20,SOLTERO,2,6,1,1,21,8.1,1064,1.0,1.0,2.0,1.0,202107012,Verbal,1.0
3320,M,19,SOLTERO,3,4,1,1,1,8.3,1500,1.0,1.0,1.0,1.0,202117066,"Verbal, Física",2.0
3336,M,20,SOLTERO,2,6,1,1,28,9.0,161,1.0,1.0,2.0,1.0,202107005,Física,1.0
3400,F,20,SOLTERO,5,6,1,1,46,8.3,1432,1.0,1.0,1.0,1.0,202116077,Psicológica,1.0
3400,F,20,SOLTERO,5,6,1,1,46,8.3,1432,1.0,1.0,1.0,1.0,202116077,Psicológica,1.0
3403,F,21,SOLTERO,5,6,1,1,8,9.6,1409,1.0,1.0,1.0,1.0,202116080,Verbal,1.0
3403,F,21,SOLTERO,5,6,1,1,8,9.6,1409,1.0,1.0,1.0,1.0,202116080,Verbal,1.0
3403,F,21,SOLTERO,5,6,1,1,8,9.6,1409,1.0,1.0,1.0,1.0,202116080,Verbal,1.0
3460,M,20,SOLTERO,2,6,2,1,27,9.3,197,1.0,1.0,1.0,1.0,202107057,"Verbal, Física",2.0
3466,F,20,SOLTERO,5,6,1,1,1,9.0,1029,1.0,1.0,2.0,1.0,202116007,Psicológica,1.0
3466,F,20,SOLTERO,5,6,1,1,1,9.0,1029,1.0,1.0,2.0,1.0,202116007,Psicológica,1.0
3488,M,21,SOLTERO,3,6,1,1,21,9.0,180,1.0,1.0,2.0,1.0,202117106,Psicológica,1.0
3488,M,21,SOLTERO,3,6,1,1,21,9.0,180,1.0,1.0,2.0,1.0,202117106,Psicológica,1.0
3488,M,21,SOLTERO,3,6,1,1,21,9.0,180,1.0,1.0,2.0,1.0,202117106,Psicológica,1.0
3496,F,20,SOLTERO,5,6,1,1,44,9.1,989,1.0,1.0,1.0,1.0,202116039,Física,1.0
3496,F,20,SOLTERO,5,6,1,1,44,9.1,989,1.0,1.0,1.0,1.0,202116039,Física,1.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,Verbal,2.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,"Verbal, Psicológica",1.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,Verbal,2.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,"Verbal, Psicológica",1.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,Verbal,2.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,"Verbal, Psicológica",1.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,Verbal,2.0
3517,F,20,SOLTERO,5,6,1,1,9,9.1,949,1.0,1.0,1.0,1.0,202116071,"Verbal, Psicológica",1.0
3651,F,21,SOLTERO,6,6,1,1,21,8.8,747,1.0,2.0,1.0,1.0,202121011,Verbal,1.0
3651,F,21,SOLTERO,6,6,1,1,21,8.8,747,1.0,2.0,1.0,1.0,202121011,Verbal,1.0
3651,F,21,SOLTERO,6,6,1,1,21,8.8,747,1.0,2.0,1.0,1.0,202121011,Verbal,1.0
3668,F,20,SOLTERO,2,6,1,1,2,7.4,199,1.0,1.0,2.0,1.0,202107048,Psicológica,1.0
3668,F,20,SOLTERO,2,6,1,1,2,7.4,199,1.0,1.0,2.0,1.0,202107048,Psicológica,1.0
3715,F,20,SOLTERO,7,6,1,1,1,8.3,404,1.0,1.0,1.0,1.0,202137029,"Física, Psicológica",2.0
3718,M,22,SOLTERO,5,6,1,1,8,8.7,1422,1.0,1.0,1.0,1.0,202116061,Verbal,1.0
3718,M,22,SOLTERO,5,6,1,1,8,8.7,1422,1.0,1.0,1.0,1.0,202116061,Verbal,1.0
3718,M,22,SOLTERO,5,6,1,1,8,8.7,1422,1.0,1.0,1.0,1.0,202116061,Verbal,1.0
3747,F,22,SOLTERO,1,6,1,1,84,9.4,1112,1.0,1.0,1.0,3.0,202101057,Verbal,1.0
3747,F,22,SOLTERO,1,6,1,1,84,9.4,1112,1.0,1.0,1.0,3.0,202101057,Verbal,1.0
3747,F,22,SOLTERO,1,6,1,1,84,9.4,1112,1.0,1.0,1.0,3.0,202101057,Verbal,1.0
3849,F,21,SOLTERO,2,4,1,1,105,8.1,1783,1.0,1.0,1.0,1.0,202207042,Verbal,1.0
3849,F,21,SOLTERO,2,4,1,1,105,8.1,1783,1.0,1.0,1.0,1.0,202207042,"Verbal, Física, Psicológica",3.0
3849,F,21,SOLTERO,2,4,1,1,105,8.1,1783,1.0,1.0,1.0,1.0,202207042,Verbal,1.0
3849,F,21,SOLTERO,2,4,1,1,105,8.1,1783,1.0,1.0,1.0,1.0,202207042,"Verbal, Física, Psicológica",3.0
3849,F,21,SOLTERO,2,4,1,1,105,8.1,1783,1.0,1.0,1.0,1.0,202207042,Verbal,1.0
3849,F,21,SOLTERO,2,4,1,1,105,8.1,1783,1.0,1.0,1.0,1.0,202207042,"Verbal, Física, Psicológica",3.0
3856,F,21,SOLTERO,3,4,1,1,1,9.4,1584,1.0,1.0,1.0,1.0,202217131,Psicológica,1.0
3856,F,21,SOLTERO,3,4,1,1,1,9.4,1584,1.0,1.0,1.0,1.0,202217131,Psicológica,1.0
3880,M,19,SOLTERO,2,4,1,1,19,7.6,1669,1.0,1.0,1.0,1.0,202207044,Verbal,1.0
3880,M,19,SOLTERO,2,4,1,1,19,7.6,1669,1.0,1.0,1.0,1.0,202207044,Verbal,1.0
3880,M,19,SOLTERO,2,4,1,1,19,7.6,1669,1.0,1.0,1.0,1.0,202207044,Verbal,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Psicológica,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Verbal,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Psicológica,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Verbal,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Psicológica,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Verbal,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Psicológica,1.0
3885,F,19,SOLTERO,2,4,1,1,21,9.9,1568,1.0,1.0,1.0,1.0,202207006,Verbal,1.0
3886,F,19,SOLTERO,3,4,1,1,17,9.3,1647,1.0,1.0,2.0,2.0,202217116,Verbal,1.0
3887,F,19,SOLTERO,3,4,1,1,2,9.0,2069,1.0,2.0,1.0,1.0,202217052,"Física, Psicológica",2.0
3887,F,19,SOLTERO,3,4,1,1,2,9.0,2069,1.0,2.0,1.0,1.0,202217052,"Física, Psicológica",2.0
3914,F,19,SOLTERO,5,4,1,1,39,9.7,1739,1.0,1.0,1.0,3.0,202216047,Psicológica,1.0
3920,F,19,UNION LIBRE,8,4,1,1,1,9.6,1980,1.0,1.0,3.0,1.0,202238024,"Verbal, Psicológica",2.0
3947,M,20,SOLTERO,5,4,1,1,8,7.1,1757,1.0,2.0,1.0,1.0,202216016,Verbal,1.0
3952,F,19,SOLTERO,5,4,1,1,50,9.4,1732,1.0,1.0,2.0,2.0,202216044,Psicológica,1.0
3952,F,19,SOLTERO,5,4,1,1,50,9.4,1732,1.0,1.0,1.0,1.0,202216044,Psicológica,1.0
3953,F,20,SOLTERO,5,4,1,1,11,8.8,1731,1.0,1.0,2.0,1.0,202216012,"Verbal, Psicológica",2.0
3961,F,22,SOLTERO,5,4,1,1,81,9.1,1746,1.0,1.0,1.0,1.0,202216051,Verbal,1.0
3983,M,20,SOLTERO,8,4,1,1,13,7.9,1962,1.0,1.0,1.0,1.0,202238007,Psicológica,1.0
3984,F,19,SOLTERO,8,4,1,1,13,9.4,1712,1.0,1.0,1.0,2.0,202238022,Psicológica,1.0
4010,F,19,SOLTERO,5,4,1,1,8,7.8,1730,1.0,1.0,1.0,1.0,202216020,Verbal,1.0
